variant,space,outlier_cont,alg,k,n_core,sil,dbi,ch,ARI_vs_quality,NMI_vs_quality,AMI_vs_quality,stab_seed_ARI,stab_subsample_ARI,min_cluster_size
all,RAW,0.0,kmeans,2,384,0.26209137277865713,1.5531729182128053,132.7431995197972,0.07038890147137006,0.042938073997146685,0.0393704980575824,0.9957338156731149,0.9901471475231587,156
all,RAW,0.0,kmeans,3,384,0.20851197503156363,1.934166102456021,86.2328279736405,0.08917119060224213,0.04094423552494372,0.03484708646302897,0.6087495737165521,0.6024407112580498,80
all,RAW,0.0,kmeans,4,384,0.1290581514386099,2.2488654656988025,71.4204655817691,0.03748456208574654,0.02988824006862578,0.02216483351739132,0.4909121346254333,0.5047966807150949,76
all,RAW,0.0,kmeans,5,384,0.1324165257695363,2.1604510240328962,61.682873578770305,0.03904464416275056,0.03112402354042522,0.0216290079758197,0.46928326617210686,0.43091254454458566,40
all,RAW,0.0,kmeans,6,384,0.11691513918570788,2.0437128168454204,58.13060698095381,0.033160113313291155,0.04234721287900933,0.03129272744514176,0.5218749384618637,0.4374851095443305,28
all,RAW,0.0,kmeans,7,384,0.12014973095855008,1.9746658771409786,53.5809106972621,0.04518656074740623,0.044652292248832555,0.031760923852385485,0.4170073458039001,0.41985425675114696,20
all,RAW,0.0,kmeans,8,384,0.12468357473196505,1.9339629996607148,46.6000880132079,0.07136591803963246,0.05210994627351486,0.03747529134600225,0.4201183315386901,0.42740645894366364,24
all,RAW,0.0,kmeans,9,384,0.12302024268901586,1.8867237155105618,46.746871559784005,0.0498173138107547,0.04648452223135067,0.03033055323761503,0.40839735238847313,0.4256853107533891,18
all,RAW,0.0,kmeans,10,384,0.1162725744743467,1.7629097833943572,45.615499180060816,0.04376510465983829,0.06909698901338969,0.05237468143904591,0.4248291124305747,0.4655943739716947,19
all,RAW,0.0,ward,2,384,0.23481373774935574,1.7239509024597015,110.60585262730771,0.07087549786931154,0.059412243607426606,0.05596347465839921,,,180
all,RAW,0.0,ward,3,384,0.23534189830759092,1.6139296317164293,76.18413889858054,0.09166408505623085,0.06633273203462013,0.05977633107007675,,,20
all,RAW,0.0,ward,4,384,0.22072384359602934,1.7469368750281604,65.90782428370409,0.10616367277347694,0.0592179725364423,0.05045668629210927,,,20
all,RAW,0.0,ward,5,384,0.18658700025700403,1.8474983866059886,56.99670328594269,0.11266360544635988,0.05599534555591674,0.04526643041659572,,,20
all,RAW,0.0,ward,6,384,0.08496500411560721,2.1463054968822406,52.02122009671931,0.069973873945715,0.05583603088537725,0.04454055404131623,,,20
all,RAW,0.0,ward,7,384,0.08737521848087008,2.130099571459698,48.056743743394925,0.05664811502458491,0.05714554126230371,0.04438242596629412,,,20
all,RAW,0.0,ward,8,384,0.09415280768754526,1.9708915592149783,45.026013584834104,0.05823611325461564,0.060446207079871875,0.0458206718910376,,,6
all,RAW,0.0,ward,9,384,0.09891379640718272,1.9431191288640752,42.47026705917063,0.060333787178059636,0.06166804025869481,0.04523047612883295,,,6
all,RAW,0.0,ward,10,384,0.10348312914768047,1.8884183401885068,40.49428549329118,0.035823405482403946,0.06588765117293076,0.04811161733187071,,,6
all,RAW,0.05,kmeans,2,364,0.2626444940784763,1.5362705609895382,130.92575899513875,0.08509078466044129,0.04978428296509886,0.04599540564175688,0.9946625307056118,0.9945348386251186,143
all,RAW,0.05,kmeans,3,364,0.22305675577013437,1.770976934066043,86.6274193521972,0.10350978066053025,0.05277555080898143,0.04613578372654366,0.6882636250317579,0.6621395869289046,45
all,RAW,0.05,kmeans,4,364,0.13743808493735124,2.14645265622112,71.8943552165847,0.08221117898948614,0.04838300280237304,0.04028573450958051,0.5475312642259059,0.5675738136373264,68
all,RAW,0.05,kmeans,5,364,0.16918002081997607,1.910376241078385,63.68415338670722,0.11760473701191637,0.07301630224444416,0.06295769598697462,0.506672335230699,0.4540043764629838,34
