Cluster,Влага %_median,Протеин %_median,Калий г/кг_median,Клетчатка %_median,Зола %_median,Кальций г/кг_median,Фосфор г/кг_median,Каротин мг/кг_median,Сахар_median,Нитраты мг/кг_median,Жир %_median,ОЭ МДж_median,Крахм %_median,Влага %_IQR,Протеин %_IQR,Калий г/кг_IQR,Клетчатка %_IQR,Зола %_IQR,Кальций г/кг_IQR,Фосфор г/кг_IQR,Каротин мг/кг_IQR,Сахар_IQR,Нитраты мг/кг_IQR,Жир %_IQR,ОЭ МДж_IQR,Крахм %_IQR
0,71.69,12.6,19.8,30.3,8.1,14.6,2.6,48.0,7.0,269.0,2.25,8.4,1.9,6.68,3.0,6.0,4.78,2.475,7.2,0.9,17.75,6.0,148.0,0.665,0.315,1.65
1,69.81,7.8,11.8,22.415,4.6,3.9,2.3,37.0,6.0,275.0,3.02,10.37,16.35,7.16,1.1,1.85,3.525,0.9,2.4,0.8,14.0,4.0,155.5,0.69,0.21,6.675
